Store_ID,Store_Name,Market,Head_Coach,OLO_QTY,Line_Config,CHIT_Config,Rev_Band,Latitude,Longitude,Location
51,Georgetown Waterfront,DMV,Andrew Scruggs,2,1,1,49,38.90385157,-77.06300355,"38.903851572773, -77.0630035484671"
8,Ardmore,PHL,Mohammed Samara (AC),5,2,2,37,40.0077855,-75.28786984,"40.0077854998087, -75.2878698394936"
10,Upenn,PHL,Carly Szyszko,6,3,3,12,39.95411775,-75.20105582,"39.9541177508901, -75.2010558161166"
25,10th & Walnut,PHL,Robert Kang,1,4,4,15,39.9485797,-75.15702629,"39.9485797034214, -75.157026289763"
32,Rittenhouse,PHL,Neenah Suzuki Morris,2,5,5,13,39.95225864,-75.17115692,"39.95225864152, -75.1711569185988"
52,King of Prussia,PHL,Aaron Rand,5,6,6,23,40.08877688,-75.38771067,"40.0887768814614, -75.3877106725634"
66,16th & Market,PHL,Stefen Ebanks,2,7,7,15,39.95331094,-75.16733062,"39.9533109381035, -75.1673306167481"
76,38th & Broadway,NYC,Patrick Chedda,5,8,8,5,40.75264483,-73.98715529,"40.7526448267315, -73.9871552914888"
37,Union Square,NYC,Darelle Cooper,6,9,9,28,40.73825638,-73.99121257,"40.7382563810361, -73.9912125743863"
88,Bryant Park,NYC,Melvin Narvaez,5,10,10,7,40.75471469,-73.98285422,"40.7547146864892, -73.9828542205315"
102,Murray Hill,NYC,Ben Niass,6,11,11,9,40.74402694,-73.97249509,"40.7440269355666, -73.9724950878786"
68,University Place,NYC,Carlos Guaman,4,12,12,29,40.73414476,-73.99247307,"40.7341447633434, -73.9924730743865"
29,Nolita,NYC,Wei Chen,4,13,13,31,40.72122221,-73.99710899,"40.7212222091089, -73.9971089943679"
808,Galley Kitchen,DMV,Mary Schmitt,3,14,14,12,38.90414664,-77.00297203,"38.9041466426729, -77.0029720313283"
97,Montrose,TX-HOUSTON,Prince Ngom,4,15,15,25,29.74363137,-95.3950457,"29.7436313738877, -95.3950457017825"
95,Rice Village,TX-HOUSTON,Eric Martinez,5,16,16,41,29.71581866,-95.41746579,"29.715818658878, -95.4174657882908"
116,Main + Walker,TX-HOUSTON,Noel Luna,2,17,17,35,29.75848058,-95.36474837,"29.7584805756495, -95.3647483747968"
69,Fulton Market,CHI,Margaret Doherty,4,18,18,7,41.88481599,-87.65225407,"41.884815991875, -87.6522540724859"
