parkcode,fullname,latitude,longitude,location
acad,Acadia National Park,44.3386,-68.2733,"44.3386, -68.2733"
alag,Alagnak Wild River,59.0047,-156.8603,"59.0047, -156.8603"
alfl,Alibates Flint Quarries National Monument,35.5836,-101.6698,"35.5836, -101.6698"
alka,Ala Kahakai National Historic Trail,19.6868,-156.0326,"19.6868, -156.0326"
amis,Amistad National Recreation Area,29.4956,-100.9953,"29.4956, -100.9953"
ania,Aniakchak National Monument & Preserve,56.9036,-158.099,"56.9036, -158.099"
anti,Antietam National Battlefield,39.4687,-77.7388,"39.4687, -77.7388"
apis,Apostle Islands National Lakeshore,46.9302,-90.6333,"46.9302, -90.6333"
appa,Appalachian National Scenic Trail,39.3254,-77.7405,"39.3254, -77.7405"
arch,Arches National Park,38.7331,-109.5925,"38.7331, -109.5925"
asis,Assateague Island National Seashore,38.0608,-75.2362,"38.0608, -75.2362"
attr,Atchafalaya National Heritage Area,30.3417,-91.72200000000001,"30.3417, -91.72200000000001"
badl,Badlands National Park,43.8554,-102.3397,"43.8554, -102.3397"
band,Bandelier National Monument,35.7647,-106.3228,"35.7647, -106.3228"
bela,Bering Land Bridge National Preserve,65.9259,-164.4378,"65.9259, -164.4378"
bibe,Big Bend National Park,29.1275,-103.2425,"29.1275, -103.2425"
bica,Bighorn Canyon National Recreation Area,45.3109,-107.9359,"45.3109, -107.9359"
bicy,Big Cypress National Preserve,26.0486,-81.0755,"26.0486, -81.0755"
bisc,Biscayne National Park,25.4824,-80.2083,"25.4824, -80.2083"
biso,Big South Fork National River & Recreation Area,36.4707,-84.6514,"36.4707, -84.6514"
bith,Big Thicket National Preserve,0.0,0.0,"0.0, 0.0"
blac,John H. Chafee Blackstone River Valley National Heritage Corridor,0.0,0.0,"0.0, 0.0"
blca,Black Canyon Of The Gunnison National Park,38.5754,-107.7416,"38.5754, -107.7416"
blri,Blue Ridge Parkway,35.7647,-82.2653,"35.7647, -82.2653"
blrn,Blue Ridge National Heritage Area,35.5659,-82.4865,"35.5659, -82.4865"
blrv,Blackstone River Valley National Historical Park,0.0,0.0,"0.0, 0.0"
colm,Colorado National Monument,39.0575,-108.6939,"39.0575, -108.6939"
boha,Boston Harbor Islands National Recreation Area,42.3602,-71.0524,"42.3602, -71.0524"
brca,Bryce Canyon National Park,37.593,-112.1871,"37.593, -112.1871"
buff,Buffalo National River,35.9829,-92.7548,"35.9829, -92.7548"
cach,Canyon de Chelly National Monument,36.1336,-109.4694,"36.1336, -109.4694"
caco,Cape Cod National Seashore,41.9043,-69.9789,"41.9043, -69.9789"
caha,Cape Hatteras National Seashore,35.2426,-75.5393,"35.2426, -75.5393"
cakr,Cape Krusenstern National Monument,67.4757,-163.6154,"67.4757, -163.6154"
calo,Cape Lookout National Seashore,34.6227,-76.5246,"34.6227, -76.5246"
camo,Castle Mountains National Monument,35.3169,-115.0887,"35.3169, -115.0887"
cana,Canaveral National Seashore,28.7895,-80.7564,"28.7895, -80.7564"
cany,Canyonlands National Park,38.3269,-109.8783,"38.3269, -109.8783"
care,Capitol Reef National Park,38.367,-111.2615,"38.367, -111.2615"
cato,Catoctin Mountain Park,39.6341,-77.4502,"39.6341, -77.4502"
cave,Carlsbad Caverns National Park,32.1479,-104.5567,"32.1479, -104.5567"
cebr,Cedar Breaks National Monument,37.635999999999996,-112.845,"37.635999999999996, -112.845"
chcu,Chaco Culture National Historical Park,36.053000000000004,-107.9559,"36.053000000000004, -107.9559"
chic,Chickasaw National Recreation Area,34.4615,-97.0064,"34.4615, -97.0064"
chir,Chiricahua National Monument,32.0136,-109.3423,"32.0136, -109.3423"
chis,Channel Islands National Park,34.0069,-119.7785,"34.0069, -119.7785"
